Date,IDR,NEER
12/22/2005,11626.94,118.0621
12/23/2005,11692.97,119.0241
12/27/2005,11644.59,119.4157
12/28/2005,11713.43,117.1325
12/29/2005,11629.89,115.9147
12/30/2005,11596.45,117.4911
1/2/2006,11624.96,118.2041
1/3/2006,11548.44,120.6825
1/4/2006,11666.14,122.0409
1/5/2006,11595.41,121.1677
1/6/2006,11573,121.45
1/9/2006,11425.79,122.0245
1/10/2006,11406.51,120.287
1/11/2006,11441.29,119.4486
1/12/2006,11349.88,119.4891
1/13/2006,11282.95,120.0827
1/16/2006,11476.12,119.1074
1/17/2006,11435.03,119.2061
1/18/2006,11522.99,119.0316
1/19/2006,11345,120.8286
1/20/2006,11386.16,119.9655
1/23/2006,11601.77,120.4515
1/24/2006,11648.58,120.7274
1/25/2006,11491.2,119.4835
1/26/2006,11469.74,119.5452
1/27/2006,11411.25,119.5791
1/30/2006,11341.98,119.3977
1/31/2006,11359.41,119.6087
2/1/2006,11281.84,120.5097
2/2/2006,11281.71,120.566
2/3/2006,11228.79,119.1945
2/6/2006,11046.48,119.0938
2/7/2006,11003.19,118.6375
2/8/2006,11069.82,118.6625
2/9/2006,11056.14,119.1282
2/10/2006,11048.31,119.3865
2/13/2006,10978.57,118.8209
2/14/2006,10978.88,119.7438
2/15/2006,10971.92,119.7719
2/16/2006,10936.04,119.1012
2/17/2006,10964.38,118.4492
2/20/2006,11014.43,116.7565
2/21/2006,11027.93,117.2443
2/22/2006,11109.06,117.0114
2/23/2006,11078.16,116.1833
2/24/2006,11054.36,115.0154
2/27/2006,10945.32,115.4311
2/28/2006,10904.22,113.7644
3/1/2006,10976.76,113.9091
3/2/2006,10955.4,116.0002
3/3/2006,11040.37,116.6152
3/6/2006,11037.61,116.9511
3/7/2006,11021.91,116.6043
3/8/2006,11097.89,116.6764
3/9/2006,11089.77,116.8511
3/10/2006,11013.16,115.379
3/13/2006,11021.89,114.2761
3/14/2006,10953.93,112.8695
3/15/2006,10997.78,111.7156
3/16/2006,11067.27,112.7626
3/17/2006,11148.67,112.2024
3/20/2006,11136.78,113.5926
3/21/2006,11069.26,113.814
3/22/2006,10969.51,112.8489
3/23/2006,10867.58,113.8877
3/24/2006,10915.73,113.7877
3/27/2006,10876.61,113.9537
3/28/2006,10939.65,113.5116
3/29/2006,10990.98,112.7977
3/30/2006,11049.7,110.9331
3/31/2006,10972.28,108.1791
4/3/2006,10889.87,108.315
4/4/2006,10983.08,105.6259
4/5/2006,11054.19,106.4676
4/6/2006,11086.96,107.6802
4/7/2006,10948.92,106.0184
4/10/2006,10867.93,109.6211
4/11/2006,10888.45,108.6999
4/12/2006,10921.59,107.5546
4/13/2006,10869.48,106.9639
4/18/2006,11005.36,107.7575
4/19/2006,10994.11,106.7181
4/20/2006,10969.42,104.2264
4/21/2006,10941.88,104.6386
4/24/2006,10926.95,107.4445
4/25/2006,10950.15,107.4804
4/26/2006,10949.53,105.9064
4/27/2006,10928.04,104.7805
4/28/2006,11041.34,103.4163
5/2/2006,11103.71,103.1984
5/3/2006,11075.81,104.0999
5/4/2006,11075.92,104.2898
5/5/2006,11152.75,104.2626
5/8/2006,11142.37,104.6697
5/9/2006,11097.18,104.7155
5/10/2006,11145.84,104.2871
5/11/2006,11101.07,103.504
5/12/2006,11280.38,103.3446
5/15/2006,11710.14,102.9988
5/16/2006,11810.87,103.0885
5/17/2006,11503.63,103.2763
5/18/2006,11729.25,103.3006
5/19/2006,11758.41,102.3796
5/22/2006,11892.17,102.0403
5/23/2006,11891.41,100.0582
5/24/2006,12054.24,95.5411
5/25/2006,11957.81,96.334
5/26/2006,11850.02,96.4578
5/29/2006,11759.69,96.5386
5/30/2006,11799.04,96.124
5/31/2006,11909.33,95.4039
6/1/2006,11895.42,95.3327
6/2/2006,11873.1,95.1063
6/5/2006,12025.02,95.2261
6/6/2006,12005.52,96.958
6/7/2006,11986.49,100.8741
6/8/2006,12002.74,101.8783
6/9/2006,11899.46,100.6268
6/12/2006,11842.82,101.6856
6/13/2006,11936.16,100.0401
6/14/2006,11908.47,99.7184
6/15/2006,11831.33,100.9191
6/16/2006,11765.43,101.3935
6/19/2006,11810.36,102.2031
6/20/2006,11768.15,101.5782
6/21/2006,11826.71,103.2828
6/22/2006,11773.61,105.5725
6/23/2006,11755.01,105.7387
6/26/2006,11807.34,105.9215
6/27/2006,11756.43,105.7541
6/28/2006,11741.01,105.5844
6/29/2006,11734.66,107.567
6/30/2006,11776.05,109.3343
7/3/2006,11702.85,110.8443
7/4/2006,11593.76,109.1268
7/5/2006,11668.13,109.2454
7/6/2006,11614.32,108.974
7/7/2006,11589.65,110.4792
7/10/2006,11540.56,112.0166
7/11/2006,11519.71,108.1007
7/12/2006,11589.74,108.5031
7/13/2006,11556.07,108.7368
7/14/2006,11621.06,110.557
7/17/2006,11655.61,108.8443
7/18/2006,11578.64,108.941
7/19/2006,11552.09,110.1291
7/20/2006,11587.31,109.6197
7/21/2006,11597.13,109.376
7/24/2006,11603.41,109.013
7/25/2006,11524.03,109.2112
7/26/2006,11454.17,109.0683
7/27/2006,11552.46,108.6488
7/28/2006,11517.91,106.4546
7/31/2006,11611.59,104.8466
8/1/2006,11610.69,107.0414
8/2/2006,11658.98,105.917
8/3/2006,11640.3,105.4167
8/4/2006,11620.89,105.5705
8/7/2006,11654.95,104.9246
8/8/2006,11670.65,104.209
8/9/2006,11707.01,105.2044
