Date,ILS
12/2/2011,5.0327
12/5/2011,5.0112
12/6/2011,5.0101
12/7/2011,5.0103
12/8/2011,5.0112
12/9/2011,5.034
12/12/2011,4.9888
12/13/2011,4.9834
12/14/2011,4.946
12/15/2011,4.9442
12/16/2011,4.9445
12/19/2011,4.945
12/20/2011,4.947
12/21/2011,4.9313
12/22/2011,4.936
12/23/2011,4.9362
12/27/2011,4.9382
12/28/2011,4.9649
12/29/2011,4.9135
12/30/2011,4.9453
1/2/2012,4.9343
1/3/2012,4.9681
1/4/2012,4.9964
1/5/2012,4.9413
1/6/2012,4.906
1/9/2012,4.8895
1/10/2012,4.8997
1/11/2012,4.8917
1/12/2012,4.8874
1/13/2012,4.893
1/16/2012,4.879
1/17/2012,4.9023
1/18/2012,4.8846
1/19/2012,4.8863
1/20/2012,4.8897
1/23/2012,4.9077
1/24/2012,4.9216
1/25/2012,4.9027
1/26/2012,4.9399
1/27/2012,4.9351
1/30/2012,4.9388
1/31/2012,4.9161
2/1/2012,4.9167
2/2/2012,4.8848
2/3/2012,4.8781
2/6/2012,4.8552
2/7/2012,4.895
2/8/2012,4.9116
2/9/2012,4.939
2/10/2012,4.9094
2/13/2012,4.9313
2/14/2012,4.9212
2/15/2012,4.8982
2/16/2012,4.9035
2/17/2012,4.9239
2/20/2012,4.9456
2/21/2012,4.9375
2/22/2012,4.967
2/23/2012,4.9868
2/24/2012,5.0487
2/27/2012,5.084
2/28/2012,5.0933
2/29/2012,5.065
3/1/2012,5.0349
3/2/2012,5.0187
3/5/2012,5.0192
3/6/2012,5.0127
3/7/2012,5.0022
3/8/2012,5.005
3/9/2012,4.9851
3/12/2012,4.9627
3/13/2012,4.9373
3/14/2012,4.944
3/15/2012,4.933
3/16/2012,4.93
3/19/2012,4.9481
3/20/2012,4.9455
3/21/2012,4.9469
3/22/2012,4.94
3/23/2012,4.9444
3/26/2012,4.949
3/27/2012,4.9581
3/28/2012,4.962
3/29/2012,4.9586
3/30/2012,4.957
4/2/2012,4.961
4/3/2012,4.9558
4/4/2012,4.9206
4/5/2012,4.8967
4/10/2012,4.9094
4/11/2012,4.9305
4/12/2012,4.9348
4/13/2012,4.9239
4/16/2012,4.9004
4/17/2012,4.9309
4/18/2012,4.932
4/19/2012,4.9228
4/20/2012,4.9447
4/23/2012,4.9422
4/24/2012,4.945
4/25/2012,4.9545
4/26/2012,4.9591
4/27/2012,4.9666
4/30/2012,4.956
5/2/2012,4.973
5/3/2012,4.9569
5/4/2012,4.9662
5/7/2012,4.957
5/8/2012,4.9525
5/9/2012,4.9429
5/10/2012,4.948
5/11/2012,4.9393
5/14/2012,4.9263
5/15/2012,4.9136
5/16/2012,4.8772
5/17/2012,4.854
5/18/2012,4.871
5/21/2012,4.8837
5/22/2012,4.8765
5/23/2012,4.8799
5/24/2012,4.8355
5/25/2012,4.8368
5/28/2012,4.848
5/29/2012,4.8533
5/30/2012,4.8268
5/31/2012,4.8237
6/1/2012,4.818
6/4/2012,4.8446
6/5/2012,4.8422
6/6/2012,4.8608
6/7/2012,4.873
6/8/2012,4.834
6/11/2012,4.8498
6/12/2012,4.8605
6/13/2012,4.8629
6/14/2012,4.8727
6/15/2012,4.8661
6/18/2012,4.8666
6/19/2012,4.8655
6/20/2012,4.9129
6/21/2012,4.9129
6/22/2012,4.89
6/25/2012,4.8893
6/26/2012,4.9145
6/27/2012,4.921
6/28/2012,4.9
6/29/2012,4.9453
7/2/2012,4.941
7/3/2012,4.94
7/4/2012,4.919
7/5/2012,4.8683
7/6/2012,4.8627
7/9/2012,4.8707
7/10/2012,4.8672
7/11/2012,4.8605
7/12/2012,4.8417
7/13/2012,4.834
7/16/2012,4.8505
7/17/2012,4.8934
7/18/2012,4.8989
7/19/2012,4.954
7/20/2012,4.883
7/23/2012,4.8923
7/24/2012,4.9274
7/25/2012,4.9359
7/26/2012,4.9928
7/27/2012,5.0072
7/30/2012,4.9458
7/31/2012,4.9064
8/1/2012,4.8766
8/2/2012,4.911
8/3/2012,4.8949
8/6/2012,4.9269
8/7/2012,4.964
8/8/2012,4.9364
8/9/2012,4.909
8/10/2012,4.9051
8/13/2012,5.0008
8/14/2012,4.9954
8/15/2012,4.9505
8/16/2012,4.9512
8/17/2012,4.9706
8/20/2012,4.959
8/21/2012,4.9953
8/22/2012,5.0157
8/23/2012,5.0264
8/24/2012,5.0298
8/27/2012,5.0428
8/28/2012,5.0344
8/29/2012,5.0542
8/30/2012,5.0674
8/31/2012,5.0753
9/3/2012,5.0556
9/4/2012,5.0528
9/5/2012,5.063
9/6/2012,5.0883
9/7/2012,5.0576
9/10/2012,5.0847
9/11/2012,5.0668
9/12/2012,5.0955
9/13/2012,5.1137
9/14/2012,5.1038
9/17/2012,5.0948
9/18/2012,5.0891
9/19/2012,5.087
9/20/2012,5.075
9/21/2012,5.0538
9/24/2012,5.0608
9/25/2012,5.0566
9/26/2012,5.0227
9/27/2012,5.0517
9/28/2012,5.0603
10/1/2012,5.0357
10/2/2012,5.021
10/3/2012,4.9948
10/4/2012,5.014
10/5/2012,5.0144
10/8/2012,5.0045
10/9/2012,4.997
10/10/2012,4.9775
10/11/2012,4.9776
10/12/2012,4.9619
10/15/2012,4.9512
10/16/2012,4.9636
10/17/2012,4.9809
10/18/2012,4.99
10/19/2012,4.9842
10/22/2012,4.9871
10/23/2012,4.9848
10/24/2012,4.9917
10/25/2012,5.0107
10/26/2012,5.0046
10/29/2012,5.0117
10/30/2012,5.0459
10/31/2012,5.0403
11/1/2012,5.0227
11/2/2012,4.9919
11/5/2012,4.9885
11/6/2012,4.9867
11/7/2012,4.9544
11/8/2012,4.9668
11/9/2012,4.9661
11/12/2012,4.9988
11/13/2012,4.9855
11/14/2012,4.9954
11/15/2012,5.045
11/16/2012,5.0496
11/19/2012,5.031
11/20/2012,5.0285
11/21/2012,5.0113
11/22/2012,4.9875
11/23/2012,5.0052
11/26/2012,5.0114
11/27/2012,4.9987
11/28/2012,4.981
11/29/2012,4.974
11/30/2012,4.9541
12/3/2012,4.9758
12/4/2012,4.9957
12/5/2012,4.9672
12/6/2012,4.9849
12/7/2012,4.9491
12/10/2012,4.9504
12/11/2012,4.948
12/12/2012,4.932
12/13/2012,4.942
12/14/2012,4.9687
12/17/2012,4.9732
12/18/2012,4.9615
12/19/2012,4.9814
12/20/2012,4.9654
12/21/2012,4.948
12/24/2012,4.951
12/27/2012,4.9436
12/28/2012,4.9194
12/31/2012,4.9258
1/2/2013,4.9244
1/3/2013,4.9113
1/4/2013,4.92
1/7/2013,4.9451
1/8/2013,4.9333
1/9/2013,4.9402
1/10/2013,4.9549
1/11/2013,4.97
1/14/2013,4.9781
1/15/2013,4.9756
1/16/2013,4.954
1/17/2013,4.9718
1/18/2013,4.9653
1/21/2013,4.9778
1/22/2013,4.9837
1/23/2013,4.9662
1/24/2013,4.9611
1/25/2013,5.0023
1/28/2013,5.0091
1/29/2013,5.0049
1/30/2013,5.0531
1/31/2013,5.0517
2/1/2013,5.0492
2/4/2013,4.999
2/5/2013,4.9988
2/6/2013,4.9957
2/7/2013,4.9937
2/8/2013,4.9436
2/11/2013,4.9572
2/12/2013,4.967
2/13/2013,4.9672
2/14/2013,4.9036
