Date,HUF,NEER
10/12/1999,256.67,95.2865
10/13/1999,258.17,95.3255
10/14/1999,257.84,95.164
10/15/1999,258.54,94.8607
10/18/1999,258.59,94.8277
10/19/1999,258.58,94.6536
10/20/1999,257.7,94.7332
10/21/1999,257.77,94.7359
10/22/1999,257.72,94.9832
10/25/1999,257.62,94.8246
10/26/1999,257.77,95.1479
10/27/1999,256.13,95.1634
10/28/1999,256.24,94.9449
10/29/1999,255.32,94.8332
11/1/1999,256.19,94.9896
11/2/1999,255.71,94.7805
11/3/1999,255.66,94.808
11/4/1999,255.68,95.0874
11/5/1999,255.13,94.9641
11/8/1999,255.16,94.7471
11/9/1999,255.37,94.74
11/10/1999,255.2,95.0695
11/11/1999,255.37,94.9698
11/12/1999,254.62,94.6535
11/15/1999,254.69,94.0936
11/16/1999,254.91,94.3365
11/17/1999,255.49,94.2638
11/18/1999,255.35,94.3248
11/19/1999,254.64,94.196
11/22/1999,254.94,94.1108
11/23/1999,255.02,93.988
11/24/1999,254.28,93.801
11/25/1999,254.25,93.9049
11/26/1999,253.58,93.8298
11/29/1999,253.83,93.9498
11/30/1999,254.15,93.6498
12/1/1999,254.35,93.7601
12/2/1999,253.71,93.9577
12/3/1999,253.15,94.004
12/6/1999,254.41,94.5385
12/7/1999,254.9,94.0712
12/8/1999,254.78,93.9028
12/9/1999,254.55,93.8553
12/10/1999,254.28,93.8885
12/13/1999,254.21,93.9931
12/14/1999,253.61,93.596
12/15/1999,253.55,93.2149
12/16/1999,254.6,93.1544
12/17/1999,254.51,92.9456
12/20/1999,254.25,93.0271
12/21/1999,254.21,92.9988
12/22/1999,254.21,93.2341
12/23/1999,254.5,93.0854
12/24/1999,254.86,92.8557
12/27/1999,255.08,93.2815
12/28/1999,254.99,93.3035
12/29/1999,254.63,93.2005
12/30/1999,254.7,93.2316
1/3/2000,254.53,93.2809
1/4/2000,254.52,92.9428
1/5/2000,254.51,92.6788
1/6/2000,254.45,92.83
1/7/2000,254.63,92.763
1/10/2000,254.69,92.6113
1/11/2000,254.72,92.32
1/12/2000,254.78,92.2177
1/13/2000,254.79,92.0134
1/14/2000,255.01,92.2545
1/17/2000,254.91,91.6674
1/18/2000,254.94,91.8576
1/19/2000,254.99,91.9794
1/20/2000,255.08,91.8929
1/21/2000,255.12,91.9939
1/24/2000,255.12,92.3829
1/25/2000,255.15,92.3626
1/26/2000,255.18,92.0878
1/27/2000,255.3,92.2406
1/28/2000,255.33,92.2204
1/31/2000,255.36,91.8965
2/1/2000,255.42,91.9342
2/2/2000,255.45,91.4804
2/3/2000,255.59,91.7552
2/4/2000,255.61,91.985
2/7/2000,255.58,92.1224
2/8/2000,255.61,91.7191
2/9/2000,255.66,92.1999
2/10/2000,255.75,92.4443
2/11/2000,255.78,92.749
2/14/2000,255.81,92.7475
2/15/2000,255.85,92.8426
2/16/2000,255.89,92.846
2/17/2000,256.02,92.9783
2/18/2000,256.01,93.0185
2/21/2000,256.73,93.1051
2/22/2000,257.81,93.4325
2/23/2000,257.3,93.0804
2/24/2000,256.45,93.1182
2/25/2000,256.71,93.1312
2/28/2000,256.78,93.3351
2/29/2000,256.81,93.027
3/1/2000,256.49,93.1369
3/2/2000,256.55,93.2854
3/3/2000,256.55,92.9738
3/6/2000,256.57,92.819
3/7/2000,256.61,92.5732
3/8/2000,256.64,92.5883
3/9/2000,256.83,92.446
3/10/2000,256.96,92.6412
3/13/2000,257.24,92.5775
3/14/2000,257.41,92.7577
3/15/2000,257.4,92.9141
3/16/2000,256.99,92.7224
3/17/2000,256.94,92.8392
3/20/2000,256,92.9349
3/21/2000,257.07,92.9496
3/22/2000,256.85,92.8013
3/23/2000,257.21,92.8447
3/24/2000,257.44,92.8354
3/27/2000,257,92.8134
3/28/2000,257.64,92.4166
3/29/2000,257.97,92.4642
3/30/2000,258.01,92.5764
3/31/2000,258.38,92.5109
4/3/2000,258.47,92.1271
4/4/2000,258.49,92.1363
4/5/2000,258.91,92.4206
4/6/2000,258.93,92.3544
4/7/2000,259.14,92.5833
4/10/2000,258.25,92.5202
4/11/2000,258.32,92.4605
4/12/2000,258.25,92.2051
4/13/2000,257.94,92.1596
4/14/2000,257.87,92.231
4/17/2000,258.95,91.8893
4/18/2000,259.15,91.5288
4/19/2000,258.51,91.4603
4/20/2000,258.08,91.5973
4/25/2000,258.02,91.4456
4/26/2000,258.05,91.2072
4/27/2000,258.23,91.3696
4/28/2000,258.45,91.651
5/2/2000,258.21,91.3124
5/3/2000,258.26,91.6444
5/4/2000,258.36,91.4659
5/5/2000,258.33,91.6628
5/8/2000,258.4,91.6492
5/9/2000,258.35,91.3454
5/10/2000,258.4,91.2138
5/11/2000,258.55,91.0071
5/12/2000,258.71,91.2658
5/15/2000,259.35,91.3085
5/16/2000,258.8,91.2292
5/17/2000,258.75,91.1625
5/18/2000,258.89,91.0473
5/19/2000,259.44,90.969
5/22/2000,259.64,90.9634
5/23/2000,260,91.1106
5/24/2000,259.65,90.7737
5/25/2000,259.93,90.5224
5/26/2000,259.87,90.1471
5/29/2000,259.98,90.3737
5/30/2000,259.58,90.0498
5/31/2000,259.23,90.1836
6/1/2000,259.29,90.4455
6/2/2000,259.4,90.4215
6/5/2000,259.2,90.2605
6/6/2000,259.45,89.9262
6/7/2000,259.5,89.8782
6/8/2000,259.55,89.619
6/9/2000,259.54,89.5869
6/12/2000,259.5,90.4736
6/13/2000,259.85,90.1647
6/14/2000,259.74,90.0293
6/15/2000,259.69,90.2348
6/16/2000,259.74,89.9878
6/19/2000,259.83,89.8828
6/20/2000,259.89,89.9686
6/21/2000,259.85,90.1154
6/22/2000,259.99,90.0949
6/23/2000,259.9,90.3533
6/26/2000,259.85,90.2499
6/27/2000,259.91,90.224
6/28/2000,260.11,90.2669
6/29/2000,260.08,90.128
6/30/2000,260.15,89.9162
7/3/2000,260.22,89.8001
7/4/2000,259.85,89.4645
7/5/2000,260.07,89.6211
7/6/2000,260.17,89.5781
7/7/2000,260.13,89.355
7/10/2000,260.16,89.4865
7/11/2000,260.23,89.2306
7/12/2000,260.14,89.236
7/13/2000,260.19,89.047
7/14/2000,260.13,88.9136
7/17/2000,260.09,89
7/18/2000,260.12,89.3085
7/19/2000,260.16,89.2167
7/20/2000,260.23,89.6956
7/21/2000,260.3,89.7969
7/24/2000,260.31,89.7395
7/25/2000,260.3,89.5713
7/26/2000,260.31,89.4782
7/27/2000,260.47,89.4017
7/28/2000,260.45,89.3131
7/31/2000,260.51,89.6866
8/1/2000,260.45,89.5145
8/2/2000,260.51,89.4798
8/3/2000,260.55,89.7112
8/4/2000,260.6,89.6469
8/7/2000,260.63,89.401
8/8/2000,260.64,89.2863
8/9/2000,260.68,89.1988
8/10/2000,260.77,89.132
8/11/2000,260.77,89.1316
8/14/2000,260.85,89.1632
8/15/2000,260.85,89.0236
8/16/2000,260.95,89.2985
8/17/2000,260.91,89.482
8/18/2000,260.94,89.7126
8/21/2000,260.95,89.7746
8/22/2000,260.98,90.1041
8/23/2000,261.05,89.8081
8/24/2000,261.1,89.9245
8/25/2000,261.13,90.1539
8/28/2000,261.19,89.9878
8/29/2000,261.18,89.6475
8/30/2000,261.23,89.6531
8/31/2000,261.36,89.7303
9/1/2000,261.34,89.9955
9/4/2000,261.5,90.3915
9/5/2000,261.67,90.3126
9/6/2000,261.87,90.242
9/7/2000,261.87,90.7428
9/8/2000,261.92,90.8991
9/11/2000,261.88,91.0609
9/12/2000,261.79,91.0369
9/13/2000,261.55,91.1761
9/14/2000,261.85,91.2707
9/15/2000,261.83,91.7799
9/18/2000,262.19,92.0475
9/19/2000,262.4,91.7859
9/20/2000,262.34,92.0557
9/21/2000,262.8,91.894
9/22/2000,263.06,91.6503
9/25/2000,263.01,91.6547
9/26/2000,263.27,92.0282
9/27/2000,263.47,92.1157
9/28/2000,263.93,91.87
9/29/2000,263.75,91.8896
10/2/2000,263.84,91.7547
10/3/2000,263.27,91.8271
