Date,KRW,NEER
8/23/1999,1270.01,103.3771
8/24/1999,1260.23,103.4424
8/25/1999,1243.03,103.3216
8/26/1999,1243.6,103.9936
8/27/1999,1235.83,105.3826
8/30/1999,1237.85,105.0717
8/31/1999,1247.5,104.7154
9/1/1999,1257.2,105.3111
9/2/1999,1268.84,105.2795
9/3/1999,1272.17,105.2068
9/6/1999,1263.04,105.0819
9/7/1999,1261.17,104.7458
9/8/1999,1267.9,104.8852
9/9/1999,1260.86,104.5733
9/10/1999,1254.57,104.8415
9/13/1999,1231.4,104.8186
9/14/1999,1236.44,104.9133
9/15/1999,1236.07,104.6911
9/16/1999,1243.21,103.5765
9/17/1999,1250.34,103.8509
9/20/1999,1249.12,104.9077
9/21/1999,1249.1,104.8828
9/22/1999,1269.02,105.1985
9/23/1999,1260.37,104.2055
9/24/1999,1269.61,104.5264
9/27/1999,1260.86,105.07
9/28/1999,1276.67,104.0348
9/29/1999,1285.93,104.0707
9/30/1999,1297.46,104.8577
10/1/1999,1303.87,105.9334
10/4/1999,1303.87,106.2973
10/5/1999,1289.39,106.061
10/6/1999,1292.38,105.5042
10/7/1999,1288.97,106.0981
10/8/1999,1282.33,105.666
10/11/1999,1279.49,106.1824
10/12/1999,1280.7,106.172
10/13/1999,1298.93,106.1748
10/14/1999,1299.99,106.65
10/15/1999,1309.9,107.3202
10/18/1999,1307.72,107.5266
10/19/1999,1303.57,107.7163
10/20/1999,1297.73,107.4344
10/21/1999,1300.8,107.4485
10/22/1999,1296.79,106.9939
10/25/1999,1287.25,107.3648
10/26/1999,1279.99,107.2595
10/27/1999,1267.62,107.8202
10/28/1999,1263.2,108.0499
10/29/1999,1254.44,109.0219
11/1/1999,1262.7,107.6195
11/2/1999,1254.86,107.8333
11/3/1999,1249.48,107.9625
11/4/1999,1243.62,107.5401
11/5/1999,1234.15,107.7575
11/8/1999,1231.63,107.595
11/9/1999,1235.78,106.9556
11/10/1999,1227.1,107.0512
11/11/1999,1221.27,106.3029
11/12/1999,1205.92,107.3006
11/15/1999,1216.61,107.6718
11/16/1999,1218,107.9384
11/17/1999,1224.51,107.9834
11/18/1999,1217.02,108.3459
11/19/1999,1210.33,108.6708
11/22/1999,1209.09,108.5751
11/23/1999,1206.17,108.8543
11/24/1999,1187.16,108.8876
11/25/1999,1180.64,108.1935
11/26/1999,1171.46,108.4713
11/29/1999,1170.92,107.8979
11/30/1999,1171.31,108.2097
12/1/1999,1169.58,108.3008
12/2/1999,1157.72,108.1147
12/3/1999,1153.11,108.442
12/6/1999,1169.65,108.5278
12/7/1999,1166.22,108.6707
12/8/1999,1151.43,109.3884
12/9/1999,1148.48,109.9798
12/10/1999,1148.91,109.3755
12/13/1999,1141.99,108.9355
12/14/1999,1137.53,108.9885
12/15/1999,1136.66,109.2354
12/16/1999,1147.24,109.4685
12/17/1999,1150.58,109.1026
12/20/1999,1144.48,108.9943
12/21/1999,1145.25,108.9291
12/22/1999,1139.65,108.501
12/23/1999,1141.13,108.8631
12/24/1999,1147.78,109.4184
12/27/1999,1148.23,109.5869
12/28/1999,1156.18,109.5635
12/29/1999,1151.31,109.5419
12/30/1999,1137.28,109.748
1/3/2000,1140.02,109.2768
1/4/2000,1157.32,108.3401
1/5/2000,1176.08,109.1529
1/6/2000,1191.9,109.1222
1/7/2000,1169.52,109.6754
1/10/2000,1157.84,110.1651
1/11/2000,1175.51,110.681
1/12/2000,1178.5,110.5837
1/13/2000,1167.01,111.2516
1/14/2000,1149.97,111.4847
1/17/2000,1132.77,112.0244
1/18/2000,1136.59,111.84
1/19/2000,1144.85,111.6777
1/20/2000,1135.74,112.1022
1/21/2000,1138.33,112.3853
1/24/2000,1128.86,111.8461
1/25/2000,1128.41,111.2066
1/26/2000,1130.09,111.15
1/27/2000,1120.9,111.1947
1/28/2000,1102.87,111.3008
1/31/2000,1100.25,111.969
2/1/2000,1093.55,111.5215
2/2/2000,1099.19,111.0044
2/3/2000,1101.41,109.7221
2/4/2000,1112.39,108.9606
2/7/2000,1104.08,109.1179
2/8/2000,1118.22,109.6688
2/9/2000,1114.35,108.8789
2/10/2000,1105.66,108.2835
2/11/2000,1092.93,107.8909
2/14/2000,1110.03,109.0935
2/15/2000,1101.81,108.9082
2/16/2000,1103.05,109.5242
2/17/2000,1119.88,109.7297
2/18/2000,1113.93,109.5889
2/21/2000,1117.1,109.2205
2/22/2000,1137.06,108.6877
2/23/2000,1141.12,109.4196
2/24/2000,1133.5,109.6588
2/25/2000,1115.59,109.3893
2/28/2000,1092.47,109.1515
2/29/2000,1098.59,109.3133
3/1/2000,1090.1,109.0893
3/2/2000,1089.13,108.2134
3/3/2000,1081.76,108.6972
3/6/2000,1079.92,108.8736
3/7/2000,1073.19,109.0546
3/8/2000,1067.62,108.754
3/9/2000,1079.21,109.4042
3/10/2000,1075.6,109.2209
3/13/2000,1087.47,109.4692
3/14/2000,1075.58,109.0198
3/15/2000,1078.59,109.1323
3/16/2000,1081.58,109.4641
3/17/2000,1080.38,109.3866
3/20/2000,1085.95,109.2157
3/21/2000,1082.8,109.2297
3/22/2000,1068.35,109.3765
3/23/2000,1067.58,109.2733
3/24/2000,1077.51,109.4206
3/27/2000,1080.35,109.7197
3/28/2000,1073.16,110.5175
3/29/2000,1061.5,110.4528
3/30/2000,1057.3,110.5206
3/31/2000,1056.06,110.4365
4/3/2000,1062.15,111.1099
4/4/2000,1062.64,111.2846
4/5/2000,1077.54,110.6868
4/6/2000,1069.37,110.7001
4/7/2000,1059.87,110.3719
4/10/2000,1062.8,110.3303
4/11/2000,1065.14,110.4226
4/12/2000,1060.44,110.5843
4/13/2000,1055.88,110.6623
4/14/2000,1060.27,110.9056
4/17/2000,1068.04,111.1315
4/18/2000,1054.42,111.1898
4/19/2000,1051.99,111.2083
4/20/2000,1040.42,110.9789
4/25/2000,1030.95,111.1574
4/26/2000,1018.91,111.3113
4/27/2000,1017.71,111.2369
4/28/2000,1006.94,110.996
5/2/2000,1010.94,111.3687
5/3/2000,989.92,111.0661
5/4/2000,994.13,111.064
5/5/2000,997.51,111.1644
5/8/2000,991.92,111.0721
5/9/2000,993.77,111.2196
5/10/2000,1008.73,111.5272
5/11/2000,1012.44,111.4267
5/12/2000,1008.07,111.2378
5/15/2000,1020.06,111.1556
5/16/2000,1011.51,111.2704
5/17/2000,995.12,111.5631
5/18/2000,999.91,111.7958
5/19/2000,995.44,111.8116
5/22/2000,1016.89,112.2242
5/23/2000,1032.91,111.8419
5/24/2000,1031.93,112.2348
5/25/2000,1017.94,112.1356
5/26/2000,1038.46,112.2179
5/29/2000,1054,112.3551
5/30/2000,1064.51,113.0099
5/31/2000,1049.84,112.9055
6/1/2000,1056.91,113.0775
6/2/2000,1052.7,112.035
6/5/2000,1053.97,112.0682
6/6/2000,1057.94,111.1245
6/7/2000,1064.68,111.5522
6/8/2000,1079.64,111.7359
6/9/2000,1060.76,111.5856
6/12/2000,1060.41,109.8667
6/13/2000,1067.25,111.0696
6/14/2000,1073.98,111.7662
6/15/2000,1061.64,111.9984
6/16/2000,1068.02,111.8707
6/19/2000,1081.9,112.3429
6/20/2000,1067.79,111.9241
6/21/2000,1060.1,112.0034
6/22/2000,1052.69,112.2304
6/23/2000,1053.61,112.1088
6/26/2000,1043.25,112.6235
6/27/2000,1051.39,112.5135
6/28/2000,1050.56,111.9006
6/29/2000,1059.9,111.7562
6/30/2000,1064.68,111.7818
7/3/2000,1057.72,111.2871
7/4/2000,1058.65,111.8529
7/5/2000,1066.07,111.4092
7/6/2000,1068.13,110.9553
