Date,USD,NEER
9/24/1999,1.0476,99.0292
9/27/1999,1.0414,99.0241
9/28/1999,1.0483,99.3404
9/29/1999,1.0563,99.0583
9/30/1999,1.0665,99.0208
10/1/1999,1.0728,99.0504
10/4/1999,1.0719,99.3146
10/5/1999,1.0686,99.3926
10/6/1999,1.0737,99.4764
10/7/1999,1.0729,99.3818
10/8/1999,1.0657,99.1155
10/11/1999,1.0631,99.3744
10/12/1999,1.0668,99.5431
10/13/1999,1.0778,99.4844
10/14/1999,1.0758,99.5456
10/15/1999,1.0869,99.965
10/18/1999,1.0868,100.6513
10/19/1999,1.0818,101.1504
10/20/1999,1.0777,101.2671
10/21/1999,1.0797,100.9874
10/22/1999,1.0758,100.6899
10/25/1999,1.0683,100.918
10/26/1999,1.0633,100.7732
10/27/1999,1.0552,100.477
10/28/1999,1.0534,100.7393
10/29/1999,1.0453,101.0705
11/1/1999,1.0572,100.793
11/2/1999,1.0507,101.3246
11/3/1999,1.0491,101.2142
11/4/1999,1.0504,101.0004
11/5/1999,1.0408,101.2676
11/8/1999,1.0405,101.4497
11/9/1999,1.0424,100.9253
11/10/1999,1.0402,101.0244
11/11/1999,1.0406,101.4924
11/12/1999,1.0308,101.5679
11/15/1999,1.0301,101.6946
11/16/1999,1.0336,101.6745
11/17/1999,1.0408,101.4082
11/18/1999,1.038,101.1384
11/19/1999,1.0279,101.5036
11/22/1999,1.0311,101.3956
11/23/1999,1.0315,101.5957
11/24/1999,1.0215,101.7486
11/25/1999,1.0194,101.4209
11/26/1999,1.0101,101.3177
11/29/1999,1.0077,100.8585
11/30/1999,1.0097,101.1655
12/1/1999,1.0091,101.2874
12/2/1999,1.0057,101.2382
12/3/1999,1.0015,101.4445
12/6/1999,1.0182,101.4439
12/7/1999,1.0239,101.426
12/8/1999,1.0236,101.768
12/9/1999,1.0175,101.6144
12/10/1999,1.0141,101.2772
12/13/1999,1.0128,101.1462
12/14/1999,1.0038,101.1864
12/15/1999,1.0021,101.1942
12/16/1999,1.0146,101.1605
12/17/1999,1.0128,100.7261
12/20/1999,1.0096,101.0002
12/21/1999,1.0084,101.2544
12/22/1999,1.0074,100.8669
12/23/1999,1.0089,100.8616
12/24/1999,1.0142,101.2198
12/27/1999,1.0134,101.3816
12/28/1999,1.0089,101.5442
12/29/1999,1.0072,101.3724
12/30/1999,1.0046,101.4876
1/3/2000,1.009,101.6878
1/4/2000,1.0305,101.3962
1/5/2000,1.0368,101.7951
1/6/2000,1.0388,101.781
1/7/2000,1.0284,102.0168
1/10/2000,1.0229,102.3932
1/11/2000,1.0256,102.7707
1/12/2000,1.0308,103.0947
1/13/2000,1.0276,103.551
1/14/2000,1.0225,103.6784
1/17/2000,1.0094,104.6032
1/18/2000,1.0093,104.6249
1/19/2000,1.0105,104.4688
1/20/2000,1.0089,104.5181
1/21/2000,1.0097,104.6859
1/24/2000,1.0027,104.1999
1/25/2000,1.0008,104.4255
1/26/2000,1.0019,104.4078
1/27/2000,0.9976,104.2152
1/28/2000,0.9848,104.4488
1/31/2000,0.9791,105.1382
2/1/2000,0.971,105.2572
2/2/2000,0.9717,105.1744
2/3/2000,0.9748,104.5954
2/4/2000,0.9835,104.2058
2/7/2000,0.9767,104.6055
2/8/2000,0.9903,105.2156
2/9/2000,0.9934,104.4148
2/10/2000,0.9868,103.9699
2/11/2000,0.9801,103.4943
2/14/2000,0.9867,103.8011
2/15/2000,0.9778,103.8541
2/16/2000,0.9804,103.6146
2/17/2000,0.9919,102.755
2/18/2000,0.9857,102.5006
2/21/2000,0.9857,102.0102
2/22/2000,1.0022,101.6946
2/23/2000,1.0068,102.5031
2/24/2000,0.9898,102.2916
2/25/2000,0.9813,102.0097
2/28/2000,0.9639,101.8387
2/29/2000,0.9714,102.0974
3/1/2000,0.9667,102.0736
3/2/2000,0.9725,101.6689
3/3/2000,0.9659,101.9382
3/6/2000,0.964,102.219
