Date,JPY
12/27/1999,103.75
12/28/1999,103.13
12/29/1999,103.02
12/30/1999,102.73
1/3/2000,102.75
1/4/2000,105.88
1/5/2000,107.34
1/6/2000,108.72
1/7/2000,108.09
1/10/2000,107.26
1/11/2000,108.85
1/12/2000,109.1
1/13/2000,108.89
1/14/2000,108.05
1/17/2000,105.81
1/18/2000,106.42
1/19/2000,106.99
1/20/2000,106.44
1/21/2000,105.53
1/24/2000,105.54
1/25/2000,105.69
1/26/2000,106.04
1/27/2000,105.43
1/28/2000,103.74
1/31/2000,104.62
2/1/2000,104.62
2/2/2000,105.51
2/3/2000,105.78
2/4/2000,105.99
2/7/2000,106.02
2/8/2000,107.91
2/9/2000,108.16
2/10/2000,107.11
2/11/2000,107.42
2/14/2000,106.85
2/15/2000,106.46
2/16/2000,106.97
2/17/2000,109.3
2/18/2000,109.27
2/21/2000,109.73
2/22/2000,111.11
2/23/2000,111.88
2/24/2000,109.55
2/25/2000,108.79
2/28/2000,105.22
2/29/2000,106.81
3/1/2000,104.65
3/2/2000,104.38
3/3/2000,104.17
3/6/2000,103.47
3/7/2000,103
3/8/2000,102.24
3/9/2000,102.44
3/10/2000,102.27
3/13/2000,102.23
3/14/2000,100.93
3/15/2000,101.74
3/16/2000,101.73
3/17/2000,102.31
3/20/2000,103.71
3/21/2000,103.46
3/22/2000,102.88
3/23/2000,103.88
3/24/2000,104.09
3/27/2000,103.77
3/28/2000,102.59
3/29/2000,100.77
3/30/2000,100.35
3/31/2000,98.53
4/3/2000,100.27
4/4/2000,100.74
4/5/2000,101.71
4/6/2000,101.04
4/7/2000,100.71
4/10/2000,101.92
4/11/2000,102.61
4/12/2000,101.11
4/13/2000,101.09
4/14/2000,100.86
4/17/2000,99.4
4/18/2000,98.97
4/19/2000,98.79
4/20/2000,98.37
4/25/2000,98.15
4/26/2000,97.85
4/27/2000,97.57
4/28/2000,97.48
5/2/2000,99.15
5/3/2000,97.46
5/4/2000,97.35
5/5/2000,97.21
5/8/2000,97.17
5/9/2000,98.25
5/10/2000,99.13
5/11/2000,98.53
5/12/2000,98.01
5/15/2000,100.07
5/16/2000,98.89
5/17/2000,97.98
5/18/2000,97.6
5/19/2000,95.69
5/22/2000,96.57
5/23/2000,97.3
5/24/2000,97.58
5/25/2000,96.81
5/26/2000,98.22
5/29/2000,99.32
5/30/2000,99.8
5/31/2000,99.9
6/1/2000,101.41
6/2/2000,101.62
6/5/2000,101.51
6/6/2000,101.24
6/7/2000,101
6/8/2000,102.12
6/9/2000,101.42
6/12/2000,101.55
6/13/2000,102.05
6/14/2000,102.52
6/15/2000,100.92
6/16/2000,101.65
6/19/2000,101.86
6/20/2000,100.62
6/21/2000,99.76
6/22/2000,99.1
6/23/2000,98.12
6/26/2000,98.38
6/27/2000,99.16
6/28/2000,99.56
6/29/2000,99.56
6/30/2000,100.57
7/3/2000,100.58
7/4/2000,100.78
7/5/2000,101.73
7/6/2000,102.44
7/7/2000,101.86
7/10/2000,101.82
7/11/2000,101.77
7/12/2000,102.29
7/13/2000,100.12
7/14/2000,100.82
7/17/2000,101.65
7/18/2000,100.93
7/19/2000,99.6
7/20/2000,99.74
7/21/2000,101.53
7/24/2000,101.64
7/25/2000,102.78
7/26/2000,102.43
7/27/2000,102.26
7/28/2000,101.29
7/31/2000,101.04
8/1/2000,101.56
8/2/2000,99.8
8/3/2000,97.85
8/4/2000,98.02
8/7/2000,98.85
8/8/2000,98.2
8/9/2000,96.81
8/10/2000,97.93
8/11/2000,99.31
8/14/2000,98.58
8/15/2000,99.78
8/16/2000,98.45
8/17/2000,99.12
8/18/2000,99.42
8/21/2000,97.63
8/22/2000,97.27
8/23/2000,95.7
8/24/2000,96.64
8/25/2000,96.61
8/28/2000,95.88
8/29/2000,95.44
8/30/2000,94.8
8/31/2000,94.77
9/1/2000,94.77
9/4/2000,95.12
9/5/2000,94.18
9/6/2000,93.27
9/7/2000,91.21
9/8/2000,92.25
9/11/2000,91.35
9/12/2000,91.55
9/13/2000,92.83
9/14/2000,93.15
9/15/2000,92.64
9/18/2000,91.1
9/19/2000,91.31
9/20/2000,90.3
9/21/2000,90.72
9/22/2000,95.75
9/25/2000,94.37
9/26/2000,93.95
9/27/2000,95.49
9/28/2000,94.98
9/29/2000,94.94
10/2/2000,95.49
10/3/2000,95.14
10/4/2000,95.31
10/5/2000,95.95
10/6/2000,94.82
10/9/2000,94.75
10/10/2000,94.2
10/11/2000,94.17
10/12/2000,93
10/13/2000,93
10/16/2000,92.09
