Date,MXN,NEER
8/26/2008,14.8624,107.2006
8/27/2008,14.9634,107.0569
8/28/2008,14.9844,106.1586
8/29/2008,15.11,104.6047
9/1/2008,15.0633,105.754
9/2/2008,15.0502,105.1687
9/3/2008,15.0202,104.7065
9/4/2008,15.0936,105.2394
9/5/2008,15.0277,104.2792
9/8/2008,14.7939,104.2546
9/9/2008,14.8194,105.7703
9/10/2008,14.9255,105.2415
9/11/2008,14.869,105.0106
9/12/2008,14.9315,104.5934
9/15/2008,15.2052,105.2939
9/16/2008,15.3399,105.7364
9/17/2008,15.2182,105.9699
9/18/2008,15.6259,106.1986
9/19/2008,15.201,105.8796
9/22/2008,15.4198,105.6374
9/23/2008,15.7181,104.851
9/24/2008,15.8108,105.0127
9/25/2008,15.9172,105.311
9/26/2008,15.8478,104.873
9/29/2008,15.5603,104.2119
9/30/2008,15.7126,104.6249
10/1/2008,15.3976,104.5294
10/2/2008,15.3667,105.8598
10/3/2008,15.5978,105.4154
10/6/2008,15.449,106.1754
10/7/2008,16.2084,106.4144
10/8/2008,17.5345,106.7943
10/9/2008,16.6305,106.2977
10/10/2008,18.4674,106.5474
10/13/2008,17.2407,106.4595
10/14/2008,16.3401,106.9503
10/15/2008,16.9359,107.2716
10/16/2008,18.2345,106.8266
10/17/2008,17.2979,107.1129
10/20/2008,17.1693,106.6887
10/21/2008,17.4029,106.5329
10/22/2008,17.4408,106.9362
10/23/2008,18.1902,107.1217
10/24/2008,17.4455,107.1925
10/27/2008,16.4285,107.315
10/28/2008,16.5468,107.1875
10/29/2008,16.6138,107.4804
10/30/2008,16.6978,107.8125
10/31/2008,16.1695,107.6792
11/3/2008,16.3737,107.7871
11/4/2008,16.1532,108.6347
11/5/2008,16.1905,108.3172
11/6/2008,16.3328,108.1569
11/7/2008,16.5573,107.1458
11/10/2008,16.3007,107.7202
11/11/2008,16.4309,107.4073
11/12/2008,16.3517,107.3825
11/13/2008,16.2136,107.5051
11/14/2008,16.4395,107.6935
11/17/2008,16.5466,107.618
11/18/2008,16.6767,108.3025
11/19/2008,16.6768,108.8862
11/20/2008,16.9003,109.1873
11/21/2008,17.6428,108.8117
11/24/2008,17.2563,109.2836
11/25/2008,17.1998,108.6578
11/26/2008,17.2941,108.2011
11/27/2008,17.0022,107.8943
11/28/2008,16.9295,108.4148
12/1/2008,17.2604,108.1009
12/2/2008,17.2171,106.8984
12/3/2008,17.161,106.9745
12/4/2008,17.2326,107.199
12/5/2008,17.3099,108.2485
12/8/2008,17.3209,107.3732
12/9/2008,17.2928,107.0017
12/10/2008,17.4681,106.7169
12/11/2008,17.5615,106.2456
12/12/2008,17.8723,105.3304
12/15/2008,18.4344,106.4564
12/16/2008,18.2659,106.7184
12/17/2008,18.4454,106.9153
12/18/2008,19.2493,107.1314
12/19/2008,18.3241,107.3867
12/22/2008,18.3426,106.9999
12/23/2008,18.43,107.5366
12/24/2008,18.6827,108.3643
12/29/2008,19.186,108.3294
12/30/2008,19.3143,107.9236
12/31/2008,19.2333,107.6097
1/2/2009,19.1718,107.1165
1/5/2009,18.5292,107.0519
1/6/2009,17.7949,106.1606
1/7/2009,18.2717,104.8866
1/8/2009,18.4054,105.7419
1/9/2009,18.7676,105.4635
1/12/2009,18.3766,106.301
1/13/2009,18.4262,106.5557
1/14/2009,18.271,106.2573
1/15/2009,18.62,105.904
1/16/2009,18.3524,106.0664
1/19/2009,18.4192,106.7442
1/20/2009,18.1925,106.2971
1/21/2009,18.0095,106.6734
1/22/2009,17.8933,106.5842
1/23/2009,18.1433,106.0086
1/26/2009,18.1211,106.3692
1/27/2009,18.5095,106.1685
1/28/2009,18.6953,106.1874
1/29/2009,18.5062,105.6909
1/30/2009,18.423,105.1553
2/2/2009,18.4829,102.8959
2/3/2009,18.6413,102.0605
2/4/2009,18.6886,101.0361
2/5/2009,18.5251,101.9716
2/6/2009,18.3271,103.5316
2/9/2009,18.3674,102.634
2/10/2009,18.4391,102.6768
2/11/2009,18.8571,101.8409
2/12/2009,18.7362,102.2692
2/13/2009,18.3946,101.6847
2/16/2009,18.605,102.0656
2/17/2009,18.4469,101.2327
2/18/2009,18.4342,99.896
2/19/2009,18.4667,100.7567
2/20/2009,18.5969,101.0034
2/23/2009,18.8611,102.0779
2/24/2009,19.0488,104.7407
2/25/2009,18.9687,106.355
2/26/2009,19.042,105.4452
2/27/2009,19.1416,105.5172
3/2/2009,19.3739,106.1342
3/3/2009,19.2631,106.6743
3/4/2009,19.1181,106.6296
3/5/2009,19.1903,106.9811
3/6/2009,19.3799,106.8795
3/9/2009,19.2596,107.706
3/10/2009,19.6603,108.3064
3/11/2009,19.4155,108.1011
3/12/2009,19.2753,107.3617
3/13/2009,18.9445,108.3144
3/16/2009,18.7348,108.0282
3/17/2009,18.395,107.6944
3/18/2009,18.5133,107.8813
3/19/2009,18.8722,107.9083
3/20/2009,19.1995,108.2874
3/23/2009,19.171,107.7594
3/24/2009,19.3636,108.2444
3/25/2009,19.3909,108.4942
3/26/2009,19.2525,107.9221
3/27/2009,19.1149,108.1375
3/30/2009,19.1611,108.7183
3/31/2009,18.7623,108.6454
4/1/2009,18.5914,108.6472
4/2/2009,18.4274,108.67
4/3/2009,18.4493,108.5942
4/6/2009,18.2,109.4515
4/7/2009,18.2323,109.978
4/8/2009,17.8023,110.1863
4/9/2009,17.59,110.5054
4/14/2009,17.365,109.127
4/15/2009,17.4346,109.7392
4/16/2009,17.1911,109.289
4/17/2009,17.0616,109.8306
4/20/2009,17.2318,109.9885
4/21/2009,17.3677,109.7203
4/22/2009,17.048,109.9271
4/23/2009,17.2423,109.871
4/24/2009,17.3372,110.3432
4/27/2009,17.9944,110.2742
4/28/2009,18.283,110.1822
4/29/2009,18.1459,109.2073
4/30/2009,18.295,109.0266
5/4/2009,18.2134,109.256
5/5/2009,17.759,109.6048
5/6/2009,17.6967,110.1408
5/7/2009,17.3576,110.1497
5/8/2009,17.5465,109.1819
5/11/2009,17.8577,109.4969
5/12/2009,18.0274,108.7765
